Município,proficiência_simulada,nível_proficiencia,estrategia_pedagogica
Abadia dos Dourados,295.9140197686826,Nível Proficiente,Bloom: Analisar e Avaliar | Metodologias: Ensino entre Pares + Gamificação | DUA: Avaliações formativas com feedback imediato
Água Comprida,203.75161328340005,Nível Baixo,Bloom: Compreender | Metodologias: Instrução Direta + Ensino Híbrido | DUA: Suporte visual e repetição guiada
Araguari,241.2543977553679,Nível Básico,Bloom: Aplicar | Metodologias: Aprendizagem Baseada em Problemas (PBL) + Mapas Mentais | DUA: Exemplos múltiplos e scaffolding
Araporã,233.4816107223234,Nível Básico,Bloom: Aplicar | Metodologias: Aprendizagem Baseada em Problemas (PBL) + Mapas Mentais | DUA: Exemplos múltiplos e scaffolding
Arapuá,310.47068212460186,Nível Avançado,Bloom: Criar e Transformar | Metodologias: Projetos Integradores + Design Thinking | DUA: Autonomia com personalização de trajetórias
Araxá,301.5049231134367,Nível Proficiente,Bloom: Analisar e Avaliar | Metodologias: Ensino entre Pares + Gamificação | DUA: Avaliações formativas com feedback imediato
Biquinhas,333.8269351557268,Nível Avançado,Bloom: Criar e Transformar | Metodologias: Projetos Integradores + Design Thinking | DUA: Autonomia com personalização de trajetórias
Cachoeira Dourada,213.04082489441242,Nível Baixo,Bloom: Compreender | Metodologias: Instrução Direta + Ensino Híbrido | DUA: Suporte visual e repetição guiada
Campina Verde,263.2882729527906,Nível Básico,Bloom: Aplicar | Metodologias: Aprendizagem Baseada em Problemas (PBL) + Mapas Mentais | DUA: Exemplos múltiplos e scaffolding
Campo Florido,204.46958291571056,Nível Baixo,Bloom: Compreender | Metodologias: Instrução Direta + Ensino Híbrido | DUA: Suporte visual e repetição guiada
Campos Altos,232.7956962205405,Nível Básico,Bloom: Aplicar | Metodologias: Aprendizagem Baseada em Problemas (PBL) + Mapas Mentais | DUA: Exemplos múltiplos e scaffolding
Canápolis,275.80329321550437,Nível Proficiente,Bloom: Analisar e Avaliar | Metodologias: Ensino entre Pares + Gamificação | DUA: Avaliações formativas com feedback imediato
Capinópolis,203.98039545257956,Nível Baixo,Bloom: Compreender | Metodologias: Instrução Direta + Ensino Híbrido | DUA: Suporte visual e repetição guiada
Carmo do Paranaíba,229.82564760299726,Nível Básico,Bloom: Aplicar | Metodologias: Aprendizagem Baseada em Problemas (PBL) + Mapas Mentais | DUA: Exemplos múltiplos e scaffolding
Carneirinho,297.4826656669285,Nível Proficiente,Bloom: Analisar e Avaliar | Metodologias: Ensino entre Pares + Gamificação | DUA: Avaliações formativas com feedback imediato
Cascalho Rico,281.7412220904825,Nível Proficiente,Bloom: Analisar e Avaliar | Metodologias: Ensino entre Pares + Gamificação | DUA: Avaliações formativas com feedback imediato
Cedro do Abaeté,233.0660933061045,Nível Básico,Bloom: Aplicar | Metodologias: Aprendizagem Baseada em Problemas (PBL) + Mapas Mentais | DUA: Exemplos múltiplos e scaffolding
Centralina,288.3898525813863,Nível Proficiente,Bloom: Analisar e Avaliar | Metodologias: Ensino entre Pares + Gamificação | DUA: Avaliações formativas com feedback imediato
Comendador Gomes,321.414568501674,Nível Avançado,Bloom: Criar e Transformar | Metodologias: Projetos Integradores + Design Thinking | DUA: Autonomia com personalização de trajetórias
Conceição das Alagoas,200.97481395170917,Nível Baixo,Bloom: Compreender | Metodologias: Instrução Direta + Ensino Híbrido | DUA: Suporte visual e repetição guiada
Conquista,320.8728877749212,Nível Avançado,Bloom: Criar e Transformar | Metodologias: Projetos Integradores + Design Thinking | DUA: Autonomia com personalização de trajetórias
Coromandel,304.720909248234,Nível Proficiente,Bloom: Analisar e Avaliar | Metodologias: Ensino entre Pares + Gamificação | DUA: Avaliações formativas com feedback imediato
Córrego Danta,251.0375774776988,Nível Básico,Bloom: Aplicar | Metodologias: Aprendizagem Baseada em Problemas (PBL) + Mapas Mentais | DUA: Exemplos múltiplos e scaffolding
Cruzeiro da Fortaleza,223.32192497176723,Nível Baixo,Bloom: Compreender | Metodologias: Instrução Direta + Ensino Híbrido | DUA: Suporte visual e repetição guiada
Delfinópolis,343.58196083101717,Nível Avançado,Bloom: Criar e Transformar | Metodologias: Projetos Integradores + Design Thinking | DUA: Autonomia com personalização de trajetórias
Delta,250.489181766894,Nível Básico,Bloom: Aplicar | Metodologias: Aprendizagem Baseada em Problemas (PBL) + Mapas Mentais | DUA: Exemplos múltiplos e scaffolding
Douradoquara,213.91187650702219,Nível Baixo,Bloom: Compreender | Metodologias: Instrução Direta + Ensino Híbrido | DUA: Suporte visual e repetição guiada
Estrela do Indaiá,214.5074565250196,Nível Baixo,Bloom: Compreender | Metodologias: Instrução Direta + Ensino Híbrido | DUA: Suporte visual e repetição guiada
Estrela do Sul,327.12415495211894,Nível Avançado,Bloom: Criar e Transformar | Metodologias: Projetos Integradores + Design Thinking | DUA: Autonomia com personalização de trajetórias
Fronteira,290.5589047050337,Nível Proficiente,Bloom: Analisar e Avaliar | Metodologias: Ensino entre Pares + Gamificação | DUA: Avaliações formativas com feedback imediato
Frutal,321.069240991157,Nível Avançado,Bloom: Criar e Transformar | Metodologias: Projetos Integradores + Design Thinking | DUA: Autonomia com personalização de trajetórias
Grupiara,309.45976800407266,Nível Proficiente,Bloom: Analisar e Avaliar | Metodologias: Ensino entre Pares + Gamificação | DUA: Avaliações formativas com feedback imediato
Guarda-Mor,280.4342137182051,Nível Proficiente,Bloom: Analisar e Avaliar | Metodologias: Ensino entre Pares + Gamificação | DUA: Avaliações formativas com feedback imediato
Guimarânia,345.96736459690555,Nível Avançado,Bloom: Criar e Transformar | Metodologias: Projetos Integradores + Design Thinking | DUA: Autonomia com personalização de trajetórias
Gurinhatã,256.78015658125304,Nível Básico,Bloom: Aplicar | Metodologias: Aprendizagem Baseada em Problemas (PBL) + Mapas Mentais | DUA: Exemplos múltiplos e scaffolding
Ibiá,282.8060946909841,Nível Proficiente,Bloom: Analisar e Avaliar | Metodologias: Ensino entre Pares + Gamificação | DUA: Avaliações formativas com feedback imediato
Ibiraci,324.4106996379492,Nível Avançado,Bloom: Criar e Transformar | Metodologias: Projetos Integradores + Design Thinking | DUA: Autonomia com personalização de trajetórias
Indianópolis,292.77796285463694,Nível Proficiente,Bloom: Analisar e Avaliar | Metodologias: Ensino entre Pares + Gamificação | DUA: Avaliações formativas com feedback imediato
Ipiaçu,329.2560350466166,Nível Avançado,Bloom: Criar e Transformar | Metodologias: Projetos Integradores + Design Thinking | DUA: Autonomia com personalização de trajetórias
Iraí de Minas,286.6028217885143,Nível Proficiente,Bloom: Analisar e Avaliar | Metodologias: Ensino entre Pares + Gamificação | DUA: Avaliações formativas com feedback imediato
Itapagipe,305.68577543223853,Nível Proficiente,Bloom: Analisar e Avaliar | Metodologias: Ensino entre Pares + Gamificação | DUA: Avaliações formativas com feedback imediato
Ituiutaba,206.87365754834934,Nível Baixo,Bloom: Compreender | Metodologias: Instrução Direta + Ensino Híbrido | DUA: Suporte visual e repetição guiada
Iturama,234.18474134773203,Nível Básico,Bloom: Aplicar | Metodologias: Aprendizagem Baseada em Problemas (PBL) + Mapas Mentais | DUA: Exemplos múltiplos e scaffolding
Lagamar,243.40819454031606,Nível Básico,Bloom: Aplicar | Metodologias: Aprendizagem Baseada em Problemas (PBL) + Mapas Mentais | DUA: Exemplos múltiplos e scaffolding
Lagoa Formosa,211.96879653854413,Nível Baixo,Bloom: Compreender | Metodologias: Instrução Direta + Ensino Híbrido | DUA: Suporte visual e repetição guiada
Limeira do Oeste,234.91863295415453,Nível Básico,Bloom: Aplicar | Metodologias: Aprendizagem Baseada em Problemas (PBL) + Mapas Mentais | DUA: Exemplos múltiplos e scaffolding
Matutina,215.15021441145936,Nível Baixo,Bloom: Compreender | Metodologias: Instrução Direta + Ensino Híbrido | DUA: Suporte visual e repetição guiada
Medeiros,241.6960404665138,Nível Básico,Bloom: Aplicar | Metodologias: Aprendizagem Baseada em Problemas (PBL) + Mapas Mentais | DUA: Exemplos múltiplos e scaffolding
Monte Alegre de Minas,295.35266663966,Nível Proficiente,Bloom: Analisar e Avaliar | Metodologias: Ensino entre Pares + Gamificação | DUA: Avaliações formativas com feedback imediato
Monte Carmelo,254.72482684551264,Nível Básico,Bloom: Aplicar | Metodologias: Aprendizagem Baseada em Problemas (PBL) + Mapas Mentais | DUA: Exemplos múltiplos e scaffolding
Morada Nova de Minas,255.5271450675324,Nível Básico,Bloom: Aplicar | Metodologias: Aprendizagem Baseada em Problemas (PBL) + Mapas Mentais | DUA: Exemplos múltiplos e scaffolding
Nova Ponte,231.42605461572316,Nível Básico,Bloom: Aplicar | Metodologias: Aprendizagem Baseada em Problemas (PBL) + Mapas Mentais | DUA: Exemplos múltiplos e scaffolding
Paineiras,240.046673307367,Nível Básico,Bloom: Aplicar | Metodologias: Aprendizagem Baseada em Problemas (PBL) + Mapas Mentais | DUA: Exemplos múltiplos e scaffolding
