colecao,campo_detectado,campo_equivalente
pisa_2000_cognitive_item,PV1MATH,PV1MATH
pisa_2000_cognitive_item,PV1READ,PV1READ
pisa_2000_cognitive_item,PV1SCIE,PV1SCIE
pisa_ocde_2000_medias,PV1MATH,PV1MATH
pisa_ocde_2000_medias,PV1READ,PV1READ
pisa_ocde_2000_medias,PV1SCIE,PV1SCIE
pisa_ocde_2003_alunos,PV1MATH,PV1MATH
pisa_ocde_2003_alunos,PV1READ,PV1READ
pisa_ocde_2003_alunos,PV1SCIE,PV1SCIE
pisa_2009_student_sps,PV1MATH,PV1MATH
pisa_2009_student_sps,PV1READ,PV1READ
pisa_2009_student_sps,PV1SCIE,PV1SCIE
pisa_2015_cy6_ms_cm2_stu_qqq2015,PV1MATH,PV1MATH
pisa_2015_cy6_ms_cm2_stu_qqq2015,PV1READ,PV1READ
pisa_2015_cy6_ms_cm2_stu_qqq2015,PV1SCIE,PV1SCIE
pisa_2022_student,PV1MATH,PV1MATH
pisa_2022_student,PV1READ,PV1READ
pisa_2022_student,PV1SCIE,PV1SCIE
pisa_2022_student_qqq,PV1MATH,PV1MATH
pisa_2022_student_qqq,PV1READ,PV1READ
pisa_2022_student_qqq,PV1SCIE,PV1SCIE
pisa_2022_teacher_questionnaire,PV1MATH,PV1MATH
pisa_2022_teacher_questionnaire,PV1READ,PV1READ
pisa_2022_teacher_questionnaire,PV1SCIE,PV1SCIE
pisa_2022_country_questionnaire,PV1MATH,PV1MATH
pisa_2022_country_questionnaire,PV1READ,PV1READ
pisa_2022_country_questionnaire,PV1SCIE,PV1SCIE
